City,Market,Role,Year,Shift Date,ActiveCount,NFires,NHires,is_holiday,available Hours,fb_training Hours,non-fb-training Hours,coaching Hours,onboarding Hours,team_meeting Hours,wellness_support Hours,meal Hours,break Hours,annual_leave_value,toil_leave_value,Excess FTE,Required FTE,Prod Max Billable Hrs,Productive Hours,Billable Hours,Nonbillable Hours,Total Expected Hours,Total Logged Hours,Total Annual Leave Hours,Total TOI Leave Hours,Assumed Leave Hours,WIO Shrinkage,Utilization %
SG,CHINESE_CANTONESE,Content Reviewer,2022,2022-07-01,17,0,0,0,44.64222222222222,0.0,0.0,0.8338888888888889,0.0,1.6755555555555557,0.0,5.969166666666666,2.896388888888889,0.0,0.0,7.0,10.0,1640.0,44.64222222222222,47.151666666666664,8.865555555555556,705.5000000000001,56.017222222222216,0.0,0.0,649.4827777777779,46.204887361116015,0.9467793055506464
SG,CHINESE_CANTONESE,Content Reviewer,2022,2022-07-08,17,0,0,0,432.59333333333336,15.6375,0.0,7.100555555555555,0.0,13.767222222222223,9.728611111111112,56.39194444444445,28.071666666666665,0.0,0.0,7.0,10.0,1640.0,432.59333333333336,478.82722222222225,84.4636111111111,705.5000000000001,563.2908333333334,0.0,0.0,142.20916666666676,477.9237787393608,0.9034434828614821
SG,CHINESE_CANTONESE,Content Reviewer,2022,2022-07-15,17,0,0,2,568.2194444444444,8.83611111111111,0.0,9.691666666666668,0.0,23.245833333333334,9.710833333333333,74.30194444444444,35.63638888888889,0.0,0.0,7.0,10.0,1640.0,568.2194444444444,619.7038888888889,109.93833333333333,705.5000000000001,729.6422222222222,0.0,0.0,-24.14222222222213,618.7869679938735,0.9169208950152716
SG,CHINESE_CANTONESE,Content Reviewer,2022,2022-07-22,17,0,0,0,441.15805555555556,12.295,1.4577777777777778,11.203333333333333,0.0,12.718055555555555,10.617500000000001,57.91888888888889,26.70388888888889,0.0,0.0,7.0,10.0,1640.0,441.15805555555556,487.99194444444447,86.08055555555555,705.5000000000001,574.0725,0.0,0.0,131.42750000000012,487.0879171124815,0.9040273319630162
SG,CHINESE_CANTONESE,Content Reviewer,2022,2022-07-29,16,1,0,0,483.68305555555554,10.096388888888889,5.953611111111111,10.698055555555555,0.0,9.118055555555555,9.192222222222222,63.57972222222222,30.067777777777778,0.0,0.0,6.0,10.0,1640.0,483.68305555555554,522.7877777777777,99.60111111111112,664.0,622.3888888888888,0.0,0.0,41.6111111111112,521.862578153541,0.925199624236731
SG,CHINESE_CANTONESE,Content Reviewer,2022,2022-08-05,16,0,0,0,430.75444444444446,21.94638888888889,5.3886111111111115,10.008055555555554,0.0,10.674999999999999,9.133333333333333,58.87277777777778,28.238611111111112,0.0,0.0,6.0,10.0,1640.0,430.75444444444446,482.51722222222224,92.5,664.0,575.0172222222222,0.0,0.0,88.98277777777776,481.62449876157433,0.8927234606479216
SG,CHINESE_CANTONESE,Content Reviewer,2022,2022-08-12,16,0,0,1,397.39194444444445,3.871944444444445,5.076111111111111,6.547777777777778,0.0,7.0569444444444445,9.454166666666666,50.735277777777775,24.534166666666668,0.0,0.0,6.0,10.0,1640.0,397.39194444444445,424.3227777777778,80.34555555555556,664.0,504.66833333333335,0.0,0.0,159.33166666666665,423.3862455781028,0.9365321996750378
SG,CHINESE_CANTONESE,Content Reviewer,2022,2022-08-19,16,0,0,0,397.63138888888886,12.745833333333334,4.441388888888889,7.865833333333334,0.0,8.309722222222222,9.130833333333333,51.65777777777778,25.944444444444443,0.0,0.0,6.0,10.0,1640.0,397.63138888888886,435.6836111111111,82.04361111111112,664.0,517.7272222222222,0.0,0.0,146.27277777777783,434.77095022888324,0.9126608822278655
SG,CHINESE_CANTONESE,Content Reviewer,2022,2022-08-26,16,0,0,0,419.96777777777777,8.400277777777777,4.8822222222222225,10.833055555555555,0.0,18.531111111111112,8.180833333333334,56.742222222222225,27.4825,0.0,0.0,6.0,10.0,1640.0,419.96777777777777,465.91305555555556,89.10694444444445,664.0,555.02,0.0,0.0,108.98000000000002,465.0116689711487,0.9013865844068427
SG,CHINESE_CANTONESE,Content Reviewer,2022,2022-09-02,16,0,0,0,425.65722222222223,14.953888888888889,4.430555555555555,14.362222222222222,0.0,11.78361111111111,8.270277777777778,57.808055555555555,28.13361111111111,0.0,0.0,6.0,10.0,2050.0,425.65722222222223,475.02722222222224,90.37222222222222,664.0,565.3994444444445,0.0,0.0,98.6005555555555,474.1311531080545,0.896069114167726
